population_id,classification_type,classification_value,lake_count
pre2021_predictor_history_lakes,state,ID,8
pre2021_predictor_history_lakes,state,IL,67
pre2021_predictor_history_lakes,state,IN,1
pre2021_predictor_history_lakes,state,KS,5
pre2021_predictor_history_lakes,state,KY,3
pre2021_predictor_history_lakes,state,LA,2
pre2021_predictor_history_lakes,state,MD,3
pre2021_predictor_history_lakes,state,MI,12
pre2021_predictor_history_lakes,state,MN,1338
pre2021_predictor_history_lakes,state,MO,99
pre2021_predictor_history_lakes,state,MS,18
pre2021_predictor_history_lakes,state,MT,2
pre2021_predictor_history_lakes,state,NC,62
pre2021_predictor_history_lakes,state,ND,45
pre2021_predictor_history_lakes,state,NE,42
pre2021_predictor_history_lakes,state,NH,22
pre2021_predictor_history_lakes,state,NJ,4
pre2021_predictor_history_lakes,state,NY,3
pre2021_predictor_history_lakes,state,OK,1
pre2021_predictor_history_lakes,state,OR,8
pre2021_predictor_history_lakes,state,SC,2
pre2021_predictor_history_lakes,state,SD,65
pre2021_predictor_history_lakes,state,TN,6
pre2021_predictor_history_lakes,state,TX,4
pre2021_predictor_history_lakes,state,UT,36
pre2021_predictor_history_lakes,state,VA,89
pre2021_predictor_history_lakes,state,VT,24
pre2021_predictor_history_lakes,state,WA,1
pre2021_predictor_history_lakes,state,WI,23
pre2021_predictor_history_lakes,state,WY,3
pre2021_predictor_history_lakes,ecoregion,Coastal Plains,707
pre2021_predictor_history_lakes,ecoregion,Northern Appalachians,55
pre2021_predictor_history_lakes,ecoregion,Northern Plains,37
pre2021_predictor_history_lakes,ecoregion,Southern Appalachians,219
pre2021_predictor_history_lakes,ecoregion,Southern Plains,24
pre2021_predictor_history_lakes,ecoregion,Temperate Plains,444
pre2021_predictor_history_lakes,ecoregion,Upper Midwest,1272
pre2021_predictor_history_lakes,ecoregion,Western Mountains,49
pre2021_predictor_history_lakes,ecoregion,Xeric,37
formal_event_lakes,state,CO,1
formal_event_lakes,state,DE,14
formal_event_lakes,state,FL,73
formal_event_lakes,state,IA,54
formal_event_lakes,state,IL,14
formal_event_lakes,state,KS,1
formal_event_lakes,state,MN,181
formal_event_lakes,state,MO,3
formal_event_lakes,state,NC,4
formal_event_lakes,state,ND,2
formal_event_lakes,state,NE,6
formal_event_lakes,state,VA,1
formal_event_lakes,state,VT,1
formal_event_lakes,ecoregion,Coastal Plains,89
formal_event_lakes,ecoregion,Northern Appalachians,1
formal_event_lakes,ecoregion,Northern Plains,2
formal_event_lakes,ecoregion,Southern Appalachians,4
formal_event_lakes,ecoregion,Southern Plains,1
formal_event_lakes,ecoregion,Temperate Plains,91
formal_event_lakes,ecoregion,Upper Midwest,166
formal_event_lakes,ecoregion,Western Mountains,1
Multi-horizon_ever_selected_lakes,state,AL,6
Multi-horizon_ever_selected_lakes,state,AR,4
Multi-horizon_ever_selected_lakes,state,AZ,5
Multi-horizon_ever_selected_lakes,state,CA,4
Multi-horizon_ever_selected_lakes,state,CO,4
Multi-horizon_ever_selected_lakes,state,DE,19
Multi-horizon_ever_selected_lakes,state,FL,430
Multi-horizon_ever_selected_lakes,state,GA,6
Multi-horizon_ever_selected_lakes,state,IA,105
Multi-horizon_ever_selected_lakes,state,ID,1
Multi-horizon_ever_selected_lakes,state,IL,58
Multi-horizon_ever_selected_lakes,state,KS,4
Multi-horizon_ever_selected_lakes,state,LA,2
Multi-horizon_ever_selected_lakes,state,MD,1
Multi-horizon_ever_selected_lakes,state,MI,5
Multi-horizon_ever_selected_lakes,state,MN,575
Multi-horizon_ever_selected_lakes,state,MO,55
Multi-horizon_ever_selected_lakes,state,MS,14
Multi-horizon_ever_selected_lakes,state,NC,30
Multi-horizon_ever_selected_lakes,state,ND,41
Multi-horizon_ever_selected_lakes,state,NE,39
Multi-horizon_ever_selected_lakes,state,OK,1
Multi-horizon_ever_selected_lakes,state,OR,8
Multi-horizon_ever_selected_lakes,state,SC,1
Multi-horizon_ever_selected_lakes,state,SD,57
Multi-horizon_ever_selected_lakes,state,TX,3
Multi-horizon_ever_selected_lakes,state,UT,15
Multi-horizon_ever_selected_lakes,state,VA,34
Multi-horizon_ever_selected_lakes,state,VT,1
Multi-horizon_ever_selected_lakes,state,WA,1
Multi-horizon_ever_selected_lakes,state,WI,8
Multi-horizon_ever_selected_lakes,state,WY,1
Multi-horizon_ever_selected_lakes,ecoregion,Coastal Plains,509
Multi-horizon_ever_selected_lakes,ecoregion,Northern Appalachians,1
Multi-horizon_ever_selected_lakes,ecoregion,Northern Plains,31
Multi-horizon_ever_selected_lakes,ecoregion,Southern Appalachians,40
Multi-horizon_ever_selected_lakes,ecoregion,Southern Plains,21
Multi-horizon_ever_selected_lakes,ecoregion,Temperate Plains,397
Multi-horizon_ever_selected_lakes,ecoregion,Upper Midwest,498
Multi-horizon_ever_selected_lakes,ecoregion,Western Mountains,18
Multi-horizon_ever_selected_lakes,ecoregion,Xeric,23
Direct 60-day_ever_selected_lakes,state,AZ,1
Direct 60-day_ever_selected_lakes,state,CA,2
Direct 60-day_ever_selected_lakes,state,CO,4
Direct 60-day_ever_selected_lakes,state,DE,17
Direct 60-day_ever_selected_lakes,state,FL,106
Direct 60-day_ever_selected_lakes,state,IA,86
Direct 60-day_ever_selected_lakes,state,ID,2
Direct 60-day_ever_selected_lakes,state,IL,32
Direct 60-day_ever_selected_lakes,state,MI,2
Direct 60-day_ever_selected_lakes,state,MN,387
Direct 60-day_ever_selected_lakes,state,MO,24
Direct 60-day_ever_selected_lakes,state,MS,1
Direct 60-day_ever_selected_lakes,state,NC,1
Direct 60-day_ever_selected_lakes,state,ND,27
Direct 60-day_ever_selected_lakes,state,NE,26
Direct 60-day_ever_selected_lakes,state,OR,4
Direct 60-day_ever_selected_lakes,state,SD,44
Direct 60-day_ever_selected_lakes,state,TX,1
Direct 60-day_ever_selected_lakes,state,UT,8
Direct 60-day_ever_selected_lakes,state,VA,3
Direct 60-day_ever_selected_lakes,state,WI,4
Direct 60-day_ever_selected_lakes,ecoregion,Coastal Plains,128
Direct 60-day_ever_selected_lakes,ecoregion,Northern Plains,20
Direct 60-day_ever_selected_lakes,ecoregion,Southern Appalachians,1
Direct 60-day_ever_selected_lakes,ecoregion,Southern Plains,13
Direct 60-day_ever_selected_lakes,ecoregion,Temperate Plains,291
Direct 60-day_ever_selected_lakes,ecoregion,Upper Midwest,307
Direct 60-day_ever_selected_lakes,ecoregion,Western Mountains,14
Direct 60-day_ever_selected_lakes,ecoregion,Xeric,8
policy_overlap_ever_selected_lakes,state,AZ,1
policy_overlap_ever_selected_lakes,state,CA,2
policy_overlap_ever_selected_lakes,state,CO,3
policy_overlap_ever_selected_lakes,state,DE,17
policy_overlap_ever_selected_lakes,state,FL,105
policy_overlap_ever_selected_lakes,state,IA,86
policy_overlap_ever_selected_lakes,state,ID,1
policy_overlap_ever_selected_lakes,state,IL,32
policy_overlap_ever_selected_lakes,state,MI,1
policy_overlap_ever_selected_lakes,state,MN,350
policy_overlap_ever_selected_lakes,state,MO,24
policy_overlap_ever_selected_lakes,state,MS,1
policy_overlap_ever_selected_lakes,state,NC,1
policy_overlap_ever_selected_lakes,state,ND,27
policy_overlap_ever_selected_lakes,state,NE,26
policy_overlap_ever_selected_lakes,state,OR,4
policy_overlap_ever_selected_lakes,state,SD,44
policy_overlap_ever_selected_lakes,state,TX,1
policy_overlap_ever_selected_lakes,state,UT,6
policy_overlap_ever_selected_lakes,state,VA,2
policy_overlap_ever_selected_lakes,state,WI,4
policy_overlap_ever_selected_lakes,ecoregion,Coastal Plains,127
policy_overlap_ever_selected_lakes,ecoregion,Northern Plains,20
policy_overlap_ever_selected_lakes,ecoregion,Southern Plains,13
policy_overlap_ever_selected_lakes,ecoregion,Temperate Plains,291
policy_overlap_ever_selected_lakes,ecoregion,Upper Midwest,269
policy_overlap_ever_selected_lakes,ecoregion,Western Mountains,11
policy_overlap_ever_selected_lakes,ecoregion,Xeric,7
Multi-horizon only_ever_selected_lakes,state,AL,6
Multi-horizon only_ever_selected_lakes,state,AR,4
Multi-horizon only_ever_selected_lakes,state,AZ,4
Multi-horizon only_ever_selected_lakes,state,CA,2
Multi-horizon only_ever_selected_lakes,state,CO,1
Multi-horizon only_ever_selected_lakes,state,DE,2
Multi-horizon only_ever_selected_lakes,state,FL,325
Multi-horizon only_ever_selected_lakes,state,GA,6
Multi-horizon only_ever_selected_lakes,state,IA,19
Multi-horizon only_ever_selected_lakes,state,IL,26
Multi-horizon only_ever_selected_lakes,state,KS,4
Multi-horizon only_ever_selected_lakes,state,LA,2
Multi-horizon only_ever_selected_lakes,state,MD,1
Multi-horizon only_ever_selected_lakes,state,MI,4
Multi-horizon only_ever_selected_lakes,state,MN,225
Multi-horizon only_ever_selected_lakes,state,MO,31
Multi-horizon only_ever_selected_lakes,state,MS,13
Multi-horizon only_ever_selected_lakes,state,NC,29
Multi-horizon only_ever_selected_lakes,state,ND,14
Multi-horizon only_ever_selected_lakes,state,NE,13
Multi-horizon only_ever_selected_lakes,state,OK,1
Multi-horizon only_ever_selected_lakes,state,OR,4
Multi-horizon only_ever_selected_lakes,state,SC,1
Multi-horizon only_ever_selected_lakes,state,SD,13
Multi-horizon only_ever_selected_lakes,state,TX,2
Multi-horizon only_ever_selected_lakes,state,UT,9
Multi-horizon only_ever_selected_lakes,state,VA,32
Multi-horizon only_ever_selected_lakes,state,VT,1
Multi-horizon only_ever_selected_lakes,state,WA,1
Multi-horizon only_ever_selected_lakes,state,WI,4
Multi-horizon only_ever_selected_lakes,state,WY,1
Multi-horizon only_ever_selected_lakes,ecoregion,Coastal Plains,382
Multi-horizon only_ever_selected_lakes,ecoregion,Northern Appalachians,1
Multi-horizon only_ever_selected_lakes,ecoregion,Northern Plains,11
Multi-horizon only_ever_selected_lakes,ecoregion,Southern Appalachians,40
Multi-horizon only_ever_selected_lakes,ecoregion,Southern Plains,8
Multi-horizon only_ever_selected_lakes,ecoregion,Temperate Plains,106
Multi-horizon only_ever_selected_lakes,ecoregion,Upper Midwest,229
Multi-horizon only_ever_selected_lakes,ecoregion,Western Mountains,7
Multi-horizon only_ever_selected_lakes,ecoregion,Xeric,16
Direct 60-day 60-day only_ever_selected_lakes,state,CO,1
Direct 60-day 60-day only_ever_selected_lakes,state,FL,1
Direct 60-day 60-day only_ever_selected_lakes,state,ID,1
Direct 60-day 60-day only_ever_selected_lakes,state,MI,1
Direct 60-day 60-day only_ever_selected_lakes,state,MN,37
Direct 60-day 60-day only_ever_selected_lakes,state,UT,2
Direct 60-day 60-day only_ever_selected_lakes,state,VA,1
Direct 60-day 60-day only_ever_selected_lakes,ecoregion,Coastal Plains,1
Direct 60-day 60-day only_ever_selected_lakes,ecoregion,Southern Appalachians,1
Direct 60-day 60-day only_ever_selected_lakes,ecoregion,Upper Midwest,38
Direct 60-day 60-day only_ever_selected_lakes,ecoregion,Western Mountains,3
Direct 60-day 60-day only_ever_selected_lakes,ecoregion,Xeric,1
neither_policy_ever_selected_lakes,state,AL,24
neither_policy_ever_selected_lakes,state,AR,15
neither_policy_ever_selected_lakes,state,AZ,5
neither_policy_ever_selected_lakes,state,CO,6
neither_policy_ever_selected_lakes,state,CT,2
neither_policy_ever_selected_lakes,state,FL,181
neither_policy_ever_selected_lakes,state,GA,20
neither_policy_ever_selected_lakes,state,IA,8
neither_policy_ever_selected_lakes,state,ID,6
neither_policy_ever_selected_lakes,state,IL,9
neither_policy_ever_selected_lakes,state,IN,1
neither_policy_ever_selected_lakes,state,KS,1
neither_policy_ever_selected_lakes,state,KY,3
neither_policy_ever_selected_lakes,state,MD,2
neither_policy_ever_selected_lakes,state,MI,6
neither_policy_ever_selected_lakes,state,MN,726
neither_policy_ever_selected_lakes,state,MO,44
neither_policy_ever_selected_lakes,state,MS,4
neither_policy_ever_selected_lakes,state,MT,2
neither_policy_ever_selected_lakes,state,NC,32
neither_policy_ever_selected_lakes,state,ND,4
neither_policy_ever_selected_lakes,state,NE,3
neither_policy_ever_selected_lakes,state,NH,22
neither_policy_ever_selected_lakes,state,NJ,4
neither_policy_ever_selected_lakes,state,NY,3
neither_policy_ever_selected_lakes,state,SC,1
neither_policy_ever_selected_lakes,state,SD,8
neither_policy_ever_selected_lakes,state,TN,6
neither_policy_ever_selected_lakes,state,TX,1
neither_policy_ever_selected_lakes,state,UT,19
neither_policy_ever_selected_lakes,state,VA,54
neither_policy_ever_selected_lakes,state,VT,23
neither_policy_ever_selected_lakes,state,WI,15
neither_policy_ever_selected_lakes,state,WY,2
neither_policy_ever_selected_lakes,ecoregion,Coastal Plains,197
neither_policy_ever_selected_lakes,ecoregion,Northern Appalachians,54
neither_policy_ever_selected_lakes,ecoregion,Northern Plains,6
neither_policy_ever_selected_lakes,ecoregion,Southern Appalachians,178
neither_policy_ever_selected_lakes,ecoregion,Southern Plains,3
neither_policy_ever_selected_lakes,ecoregion,Temperate Plains,47
neither_policy_ever_selected_lakes,ecoregion,Upper Midwest,736
neither_policy_ever_selected_lakes,ecoregion,Western Mountains,28
neither_policy_ever_selected_lakes,ecoregion,Xeric,13
